scientific_name;Countries;mentions_country;article_cnt
Anodorhynchus leari;singapore;1;21
Anodorhynchus leari;somalia;1;21
Anodorhynchus leari;spain;1;21
Anodorhynchus leari;suriname;1;21
Anodorhynchus leari;tanzania;1;21
Anodorhynchus leari;thailand;1;21
Anodorhynchus leari;uganda;1;21
Anodorhynchus leari;united states;1;21
Anodorhynchus leari;uruguay;1;21
Anodorhynchus leari;vietnam;1;21
Anodorhynchus leari;zambia;1;21
Anoxypristis cuspidata;australia;10;30
Anoxypristis cuspidata;china;3;30
Anoxypristis cuspidata;bangladesh;2;30
Anoxypristis cuspidata;brazil;2;30
Anoxypristis cuspidata;canada;2;30
Anoxypristis cuspidata;costa rica;2;30
Anoxypristis cuspidata;guatemala;2;30
Anoxypristis cuspidata;india;2;30
Anoxypristis cuspidata;mexico;2;30
Anoxypristis cuspidata;angola;1;30
Anoxypristis cuspidata;bahamas;1;30
Anoxypristis cuspidata;colombia;1;30
Anoxypristis cuspidata;el salvador;1;30
Anoxypristis cuspidata;honduras;1;30
Anoxypristis cuspidata;indonesia;1;30
Anoxypristis cuspidata;madagascar;1;30
Anoxypristis cuspidata;malaysia;1;30
Anoxypristis cuspidata;mauritania;1;30
Anoxypristis cuspidata;morocco;1;30
Anoxypristis cuspidata;mozambique;1;30
Anoxypristis cuspidata;new caledonia;1;30
Anoxypristis cuspidata;nicaragua;1;30
Anoxypristis cuspidata;pakistan;1;30
Anoxypristis cuspidata;papua new guinea;1;30
Anoxypristis cuspidata;peru;1;30
Anoxypristis cuspidata;spain;1;30
Anoxypristis cuspidata;sudan;1;30
Anoxypristis cuspidata;switzerland;1;30
Anoxypristis cuspidata;taiwan;1;30
Anoxypristis cuspidata;thailand;1;30
Anoxypristis cuspidata;turkey;1;30
Anoxypristis cuspidata;united states;1;30
Anoxypristis cuspidata;venezuela;1;30
Antilocapra americana;canada;4;40
Antilocapra americana;mexico;3;40
